ROP(1 m),Depth(m),weight on bit (kg),Rotary Speed (rpm),Pump Press (KPa),Temp In(degC),Flow In(liters/min),Flow Out %
15.91,694.24,7986.39,56.48,7592.84,49.8,2740.49,78.56
16.89,694.54,8136.05,55.2,7597.81,49.78,2719.59,78.38
19.25,694.85,8458.05,56.94,7831.07,49.8,2708.73,73.77
17.7,695.15,8195.01,54.41,7751.7,49.8,2700.21,73.77
16.95,695.46,8775.51,67.53,7607.74,49.82,2726.56,74.21
16.45,695.77,8136.05,53.37,7612.7,49.84,2721.9,74.17
21.13,696.07,8399.09,55.05,7528.31,49.86,2720.35,73.51
20.34,696.38,8458.05,55.14,7726.88,49.86,2721.1,73.55
13.07,696.69,7759.64,54.65,7677.24,49.88,2707.97,73.64
17.45,697.0,8888.89,56.82,7672.27,49.91,2723.45,73.9
15.97,697.31,8117.91,56.36,7612.7,49.95,2724.21,74.08
17.21,697.62,9151.93,53.77,7592.84,49.97,2722.66,75.0
11.44,697.92,8303.85,55.99,7607.74,50.01,2737.38,74.74
15.68,698.23,8925.17,55.9,7468.8,50.03,2714.14,75.97
16.63,698.53,8625.85,56.48,7627.59,50.03,2700.21,77.94
16.89,698.84,8267.57,55.78,7746.74,49.8,2728.11,80.31
17.7,699.16,8984.13,57.24,7761.63,49.67,2687.04,79.26
19.28,699.47,8907.03,56.12,7697.1,49.63,2693.24,79.61
21.87,699.78,8362.81,55.69,7667.31,49.63,2692.45,78.21
16.75,700.09,8793.65,54.86,7716.95,49.65,2697.1,72.19
9.48,700.4,4784.58,74.57,7360.9,50.03,2666.14,67.49
14.7,700.71,8117.91,59.23,7594.15,50.09,2635.14,67.67
14.46,701.02,8249.43,61.09,7529.62,50.14,2649.11,66.66
10.45,701.32,7759.64,53.74,7653.73,50.22,2643.65,66.53
17.01,701.63,8380.95,54.62,7504.79,50.29,2666.9,65.82
16.21,701.94,8303.85,54.56,7618.98,50.33,2669.24,65.95
12.57,702.26,8249.43,54.13,7544.51,50.41,2682.38,68.02
15.48,702.56,7609.98,56.18,7797.62,50.43,2646.76,66.17
15.75,702.86,9038.55,53.77,7802.59,50.43,2652.21,66.48
9.47,703.17,8775.51,62.98,7628.9,50.46,2664.59,68.46
9.81,703.47,8267.57,54.68,7857.2,50.48,2638.24,63.41
16.39,703.78,7705.22,55.69,7743.02,50.48,2627.42,68.15
16.94,704.09,8022.68,59.17,7877.05,50.48,2642.9,68.46
9.46,704.4,9038.55,62.83,7668.62,50.5,2668.45,69.34
7.42,704.7,6326.53,54.56,7688.48,50.54,2645.21,67.49
14.25,705.01,7138.32,56.39,7574.3,50.54,2645.21,68.41
13.31,705.32,7891.16,50.99,7743.02,50.56,2646.0,69.69
15.97,705.63,8285.71,52.82,7941.59,50.58,2625.07,69.03
17.21,705.94,7968.25,54.65,7757.91,50.63,2648.31,69.69
17.21,706.25,8662.13,55.08,7916.77,50.63,2656.07,69.42
13.22,706.55,8303.85,52.82,7683.51,50.67,2647.55,99.68
9.98,706.86,5632.65,60.72,7539.54,50.71,2694.8,98.8
7.93,707.17,5102.04,60.78,7524.65,50.71,2697.1,99.62
15.24,707.47,8589.57,48.98,7956.49,50.71,2635.14,100.51
13.87,707.78,6911.56,61.91,7589.19,50.73,2678.52,98.54
13.9,708.09,7138.32,52.61,7743.02,50.73,2636.69,97.09
15.32,708.39,6535.15,54.9,7882.02,50.77,2657.62,91.45
15.19,708.71,8249.43,54.16,7688.48,50.79,2643.65,90.94
7.0,709.02,8793.65,55.23,7524.65,50.86,2657.62,89.61
13.11,709.33,8607.71,46.9,8184.78,50.86,2609.59,87.58
11.77,709.64,8172.34,58.68,7872.09,50.9,2642.14,88.09
13.28,709.95,979.59,17.83,6676.01,50.56,2631.28,94.61
29.79,710.28,1863.95,41.44,6636.3,50.56,2628.97,95.69
14.33,710.59,2054.42,45.96,6651.19,50.56,2639.79,95.88
8.59,710.9,9850.34,58.28,7241.75,50.75,2664.59,95.31
13.24,711.21,9868.48,50.38,7350.97,50.79,2622.0,97.34
14.25,711.52,10471.66,51.2,7251.68,50.84,2622.76,93.28
14.07,711.83,9927.44,49.07,7350.97,50.88,2622.76,92.97
16.95,712.13,9755.1,50.84,7365.86,50.88,2618.1,94.04
16.96,712.44,10226.76,50.32,7370.82,50.88,2608.03,93.54
16.39,712.75,10281.18,50.29,7370.82,50.86,2608.83,94.11
7.42,713.06,9079.37,62.61,7142.53,50.88,2648.31,97.97
6.34,713.36,10208.62,57.28,7440.33,50.92,2610.38,95.5
15.75,713.68,9528.34,50.78,7524.65,50.97,2597.21,96.39
12.34,713.98,9414.97,55.57,7638.83,50.98,2594.86,98.99
11.33,714.29,8589.57,50.56,7440.33,51.01,2597.21,99.43
16.14,714.59,9151.93,53.95,7455.22,51.05,2582.48,96.2
17.8,714.9,10036.28,49.8,7470.11,51.05,2590.24,101.71
12.63,715.21,9414.97,57.09,7291.39,51.07,2590.24,102.15
11.09,715.51,8040.82,63.68,7519.69,51.11,2642.14,101.39
12.92,715.82,9795.92,60.2,7499.83,51.13,2618.9,103.36
14.07,716.12,10226.76,58.13,7683.51,51.16,2616.55,101.9
9.24,716.42,6367.35,54.59,7350.97,51.18,2627.42,95.5
10.86,716.73,9414.97,56.05,7618.98,51.22,2627.42,102.22
14.64,717.03,9170.07,56.33,7539.54,51.24,2618.9,104.56
15.75,717.35,9360.54,57.92,7529.62,51.26,2611.93,101.33
16.95,717.65,10058.96,61.97,7514.72,51.28,2632.83,102.91
10.56,717.96,7006.8,64.29,7450.25,51.31,2650.66,101.39
7.09,718.26,2430.84,73.45,7226.93,51.37,2714.14,98.61
21.07,718.58,9755.1,58.68,7673.58,51.37,2652.21,99.81
7.12,718.89,9927.44,68.87,7529.62,51.41,2694.8,100.0
6.74,719.19,7102.04,70.94,7380.75,51.47,2686.28,100.06
11.69,719.5,7401.36,65.15,7559.4,51.49,2669.24,99.87
10.54,719.81,6816.33,61.49,7410.54,51.37,2632.07,96.52
9.07,720.12,6385.49,59.11,7326.14,51.43,2647.55,99.75
9.24,720.43,8512.47,59.62,7291.39,51.49,2658.38,101.08
9.07,720.73,8267.57,54.1,7465.15,51.53,2642.14,100.13
10.54,721.05,6272.11,61.39,7346.0,51.56,2641.35,98.48
8.81,721.36,4594.1,68.81,7241.75,51.62,2664.59,92.14
11.76,721.67,8589.57,58.1,7410.54,51.66,2615.0,95.69
11.43,721.97,10000.0,46.99,7514.72,51.68,2608.83,97.91
10.86,722.28,9192.74,55.35,7584.22,51.68,2624.31,97.91
10.36,722.59,9306.12,57.52,7470.11,51.71,2604.93,99.68
14.83,722.89,9414.97,61.67,7633.87,51.71,2622.76,100.32
10.76,723.2,6648.53,70.33,7420.47,51.73,2632.83,98.1
8.06,723.5,8888.89,69.17,7445.29,51.73,2631.28,96.01
10.64,723.82,5668.93,74.24,7217.0,51.73,2677.76,98.1
8.49,724.14,6702.95,59.53,7266.57,51.75,2658.38,96.96
14.07,724.44,6857.14,46.87,7405.57,51.77,2635.93,95.88
11.39,724.75,6195.01,66.7,7341.04,51.79,2665.35,92.65
7.95,725.06,5668.93,63.71,7231.89,51.81,2665.35,90.75
8.26,725.36,9682.54,58.53,7162.39,51.83,2659.17,92.27
7.85,725.67,9963.72,48.21,7623.94,51.86,2622.76,97.15
12.71,725.97,9963.72,48.0,7485.01,51.87,2629.72,97.53
10.87,726.28,10358.28,47.94,7589.19,51.89,2624.31,99.05
6.5,726.58,7777.78,67.04,7316.22,51.96,2672.31,89.42
8.51,726.89,8702.95,52.09,7489.9,51.98,2646.0,91.57
12.24,727.19,8607.71,51.69,7435.36,52.0,2637.48,94.23
17.94,727.5,9981.86,53.52,7569.33,52.0,2644.45,95.88
16.49,727.81,8816.33,53.1,7554.44,52.02,2639.79,95.18
15.32,728.12,10829.93,52.91,7618.98,52.04,2639.04,94.99
16.03,728.43,9927.44,52.42,7489.9,52.04,2639.04,93.85
16.75,728.75,8458.05,54.62,7400.61,52.07,2648.31,94.99
18.96,729.06,10358.28,52.67,7539.54,52.07,2633.59,95.56
16.19,729.38,7514.74,57.92,7380.75,52.09,2652.97,96.01
13.38,729.69,10303.85,52.49,7449.7,51.45,2574.76,100.32
12.28,729.99,10190.48,56.76,7405.16,51.43,2597.96,97.91
11.93,730.3,10866.21,54.96,7543.68,51.45,2625.86,87.65
16.89,730.6,10680.27,55.6,7701.99,51.49,2620.45,90.05
15.32,730.91,10303.85,58.25,7652.48,51.49,2615.0,91.07
17.14,731.22,10376.42,55.96,7721.78,51.49,2635.14,89.17
14.91,731.52,10000.0,58.98,7548.65,51.53,2632.83,88.22
6.21,731.83,11188.21,58.65,7429.91,51.68,2660.73,88.03
4.8,732.13,10244.9,48.03,7632.7,51.56,2618.1,87.84
15.11,732.44,9700.68,54.35,7637.66,51.79,2622.0,90.56
12.4,732.75,9569.16,57.7,7637.66,51.81,2615.79,88.34
16.21,733.06,9528.34,56.94,7632.7,51.86,2612.69,91.13
15.85,733.37,9927.44,55.38,7875.06,51.87,2616.55,97.53
15.11,733.68,9569.16,58.13,7662.41,51.89,2601.86,98.35
12.8,733.98,7496.6,72.44,7479.35,51.89,2642.14,95.95
17.75,734.29,8947.85,57.82,7593.12,51.92,2629.72,93.85
18.71,734.61,9641.72,52.15,7726.67,51.94,2616.55,89.8
21.48,734.93,9378.68,54.56,7642.62,51.96,2626.62,91.13
17.47,735.24,9079.37,53.77,7627.8,51.98,2629.72,94.04
7.9,735.54,6535.15,64.66,7474.46,52.0,2668.45,100.06
12.11,735.85,8362.81,50.75,7429.91,52.04,2617.35,96.33
12.83,736.16,8662.13,57.06,7568.43,52.07,2640.59,90.5
19.27,736.47,8195.01,56.18,7499.14,52.07,2635.14,95.31
18.71,736.79,9832.2,52.85,7627.8,52.09,2615.79,96.83
14.23,737.11,10149.66,49.92,7687.1,52.11,2608.83,98.8
15.04,737.42,10208.62,58.89,7657.45,52.11,2618.1,101.01
12.2,737.72,10471.66,54.5,7751.43,52.15,2609.59,99.56
15.82,738.03,9886.62,57.98,7598.08,52.17,2629.72,99.49
14.26,738.34,9814.06,56.73,7543.68,52.23,2622.0,102.28
14.79,738.65,9814.06,59.72,7588.22,52.26,2615.0,99.49
13.9,738.95,9886.62,53.61,7711.85,52.28,2604.17,101.01
11.3,739.26,9587.3,62.22,9917.84,52.13,2645.17,111.21
14.2,739.57,9324.26,51.42,10105.79,52.15,2636.65,109.69
10.87,739.87,8984.13,52.88,10194.88,52.19,2646.72,107.28
15.04,740.18,9097.51,58.59,10179.98,52.23,2661.45,109.12
14.64,740.48,9133.79,48.27,10313.54,52.28,2646.72,109.5
11.82,740.79,9605.44,50.5,10224.53,52.34,2664.55,100.35
12.2,741.09,9229.02,55.47,10323.47,52.38,2659.14,99.88
13.33,741.4,9700.68,55.9,9527.1,52.43,2525.81,96.8
12.34,741.7,7306.12,64.2,10442.13,52.47,2710.28,100.81
13.26,742.01,3786.85,18.34,9403.47,52.43,2628.89,99.88
16.2,742.32,8512.47,47.91,9843.65,52.38,2590.92,101.04
20.71,742.63,8399.09,60.42,10199.77,52.38,2676.17,102.44
17.53,742.94,8702.95,61.52,10244.32,52.41,2680.83,102.44
4.01,743.25,8925.17,66.31,10125.58,52.55,2714.18,104.07
15.11,743.56,8625.85,53.98,10382.77,52.59,2694.0,103.2
17.74,743.87,8870.75,55.54,10353.12,52.64,2696.35,103.2
13.98,744.18,9097.51,51.69,10348.15,52.66,2697.9,105.47
17.13,744.49,9002.27,50.62,10397.66,52.72,2700.21,102.85
16.21,744.8,8888.89,51.02,10402.56,52.74,2698.66,103.72
21.51,745.1,8267.57,55.08,10387.73,52.78,2697.9,104.94
18.05,745.41,9133.79,52.7,10432.27,52.81,2698.66,103.9
12.73,745.71,8231.29,50.07,10452.06,52.85,2700.21,104.71
17.42,746.02,8662.13,49.34,10447.1,52.87,2697.1,104.71
12.47,746.32,8022.68,60.11,10338.29,52.91,2714.18,104.24
14.52,746.63,9587.3,46.17,10432.27,52.96,2699.45,103.43
16.89,746.93,8702.95,53.58,10422.34,52.98,2703.31,103.08
18.64,747.24,8530.61,47.66,10437.24,53.0,2701.0,102.67
15.11,747.55,8607.71,53.19,10402.56,53.04,2701.76,103.55
5.76,747.86,5668.93,68.59,10254.18,53.11,2723.45,105.47
19.61,748.17,8643.99,53.49,10437.24,53.12,2701.0,104.71
17.99,748.48,8571.43,51.57,10407.52,53.17,2700.21,105.18
17.2,748.79,8793.65,50.04,10367.94,53.19,2696.35,104.77
11.19,749.1,9038.55,53.92,9893.15,53.23,2605.65,100.9
12.19,749.41,7365.08,56.3,9878.26,53.27,2627.34,100.11
15.47,749.72,7909.3,51.48,9898.05,53.32,2607.2,99.08
10.46,750.02,9170.07,51.02,10076.15,53.4,2602.55,98.35
13.55,750.33,7741.5,62.1,10115.72,53.44,2657.58,100.73
15.46,750.63,9510.2,59.47,10175.09,53.51,2645.17,100.62
10.37,750.94,8435.37,60.81,10115.72,53.55,2649.07,100.56
10.26,751.25,8571.43,61.91,10214.6,53.61,2658.34,101.58
11.4,751.56,7836.73,55.84,10155.3,53.66,2642.86,99.31
15.11,751.87,9115.65,54.9,10269.07,53.69,2645.96,99.71
13.07,752.18,8040.82,59.56,10095.93,53.74,2662.24,101.58
12.62,752.48,9002.27,56.73,10199.77,53.78,2645.96,99.77
12.57,752.79,9324.26,54.74,10298.72,53.82,2640.55,101.07
11.18,753.1,9002.27,59.53,10194.88,53.84,2650.62,97.55
8.71,753.4,8834.47,49.62,10184.95,53.91,2656.83,97.04
10.84,753.71,9079.37,42.78,10095.93,53.95,2649.82,94.37
12.62,754.02,8362.81,54.99,10214.6,53.99,2646.72,92.5
16.7,754.33,8775.51,54.53,10140.41,54.03,2649.82,95.45
16.88,754.63,8607.71,57.92,10090.97,54.06,2649.07,94.31
17.15,754.94,8476.19,59.78,10130.55,54.1,2654.48,94.65
19.25,755.24,8195.01,52.58,10229.49,54.12,2643.62,91.53
12.47,755.55,7591.84,63.1,10095.93,54.16,2664.55,91.76
8.87,755.86,9455.78,59.62,10071.18,54.21,2662.24,88.29
14.06,756.17,8739.23,51.57,10160.2,54.24,2649.07,94.77
21.49,756.48,8004.54,49.98,10293.75,54.27,2639.76,96.13
16.51,756.79,8213.15,50.23,10184.95,54.29,2646.72,97.72
20.69,757.1,8231.29,58.31,10095.93,54.33,2658.34,98.17
19.25,757.41,8022.68,54.38,10179.98,54.33,2652.93,99.48
10.56,757.71,8530.61,57.46,10120.62,54.39,2657.58,99.71
9.17,758.02,8004.54,60.63,10061.32,54.46,2660.69,100.28
12.47,758.59,7591.84,63.1,10095.93,54.16,2664.55,91.76
8.87,758.91,9455.78,59.62,10071.18,54.21,2662.24,88.29
14.06,758.91,8739.23,51.57,10160.2,54.24,2649.07,94.77
21.49,759.23,8004.54,49.98,10293.75,54.27,2639.76,96.13
16.51,759.54,8213.15,50.23,10184.95,54.29,2646.72,97.72
20.69,760.15,8231.29,58.31,10095.93,54.33,2658.34,98.17
19.25,760.46,8022.68,54.38,10179.98,54.33,2652.93,99.48
12.19,760.74,8870.75,45.89,9922.8,53.57,2630.44,101.3
19.3,761.05,8757.37,51.17,9927.77,53.66,2632.79,97.38
15.11,761.37,7609.98,60.42,9809.03,53.74,2647.52,97.89
9.99,761.68,9455.78,50.87,9868.4,53.84,2638.2,101.13
10.35,761.99,8965.99,54.13,9814.0,53.95,2649.07,99.31
12.16,762.29,8702.95,51.69,9868.4,54.06,2641.31,100.56
9.38,762.6,3124.72,64.78,9561.71,54.16,2676.17,99.25
12.27,762.9,7682.54,54.56,9804.07,54.23,2641.31,98.46
12.79,763.22,9002.27,53.1,9863.44,54.27,2634.34,100.73
15.54,763.53,8984.13,47.15,9962.38,54.27,2625.03,98.4
11.18,763.84,9437.64,53.58,9868.4,54.31,2641.31,99.14
11.68,764.14,8907.03,47.85,9937.63,54.33,2632.0,98.06
13.17,764.45,8399.09,57.4,9927.77,54.37,2631.24,96.81
18.33,764.76,8249.43,58.98,9932.73,54.39,2633.55,98.74
9.64,765.07,8888.89,45.68,9937.63,54.46,2632.79,98.4
18.63,765.38,8834.47,51.97,9942.59,54.5,2635.1,98.97
11.55,765.68,8399.09,54.5,9912.94,54.58,2631.24,99.03
10.87,765.99,9247.17,63.32,9754.63,54.67,2655.28,98.63
8.59,766.29,8530.61,56.85,9868.4,54.76,2643.62,100.79
9.81,766.6,7664.4,61.15,9858.47,54.8,2653.72,101.58
10.26,766.91,9360.54,56.88,10011.82,54.84,2628.13,102.55
9.13,767.21,8721.09,57.49,9818.96,54.78,2640.55,101.7
9.14,767.75,5931.97,55.87,9724.98,54.73,2646.72,102.83
8.59,768.06,6009.07,60.23,9279.77,54.57,2577.75,101.13
12.88,768.37,8231.29,56.97,9927.77,54.5,2639.0,104.02
10.72,768.68,9324.26,55.32,9878.26,54.52,2647.52,102.32
12.91,768.99,9115.65,57.21,9907.98,54.54,2635.89,101.87
6.03,769.29,9510.2,51.08,10001.96,54.61,2628.13,98.86
12.77,769.59,5501.13,69.66,9774.42,54.67,2656.83,98.57
18.37,769.91,9342.4,55.81,9957.41,54.69,2637.45,99.71
15.12,770.22,3936.51,67.5,9715.06,54.73,2667.65,100.67
13.15,770.53,8494.33,62.0,9927.77,54.73,2650.62,98.74
16.51,770.84,8285.71,53.19,9962.38,54.78,2633.55,99.14
13.72,771.15,6875.28,56.09,9903.01,54.78,2645.96,98.17
15.52,771.46,6458.05,61.42,9853.58,54.78,2654.48,98.23
13.98,771.77,8643.99,55.81,9898.05,54.78,2645.96,99.59
13.42,772.08,10131.52,63.07,9937.63,54.69,2650.62,99.94
9.61,772.39,7551.02,57.79,9863.44,54.58,2646.72,97.89
13.62,772.7,9210.88,56.39,9937.63,54.48,2635.89,98.63
14.67,773.01,9981.86,57.03,9942.59,54.36,2643.62,97.55
12.27,773.32,9623.58,47.85,9996.99,54.21,2633.55,92.38
14.14,773.63,9038.55,54.16,9937.63,54.14,2650.62,96.76
16.74,773.94,7664.4,59.93,9784.28,54.03,2651.38,99.08
14.52,774.25,9886.62,50.44,9982.17,53.97,2639.0,101.47
16.14,774.56,8888.89,51.17,9937.63,53.91,2627.34,98.86
23.28,774.87,9133.79,56.45,9947.55,53.91,2639.0,97.95
20.68,775.18,9038.55,53.52,9898.05,53.84,2641.31,90.0
17.8,775.49,9791.38,50.78,9912.94,53.8,2642.86,91.36
18.29,775.79,9551.02,53.98,9888.19,53.87,2644.41,90.51
15.98,776.1,9020.41,49.43,9903.01,53.97,2635.1,91.53
20.7,776.41,8965.99,52.18,9996.99,54.08,2641.31,89.54
16.51,776.73,10662.13,56.27,9809.03,54.1,2647.52,90.39
12.19,777.03,9283.45,45.8,10061.32,54.23,2621.93,88.92
12.27,777.58,9623.58,47.85,9996.99,54.21,2633.55,92.38
14.14,778.2,9038.55,54.16,9937.63,54.14,2650.62,96.76
16.74,778.82,7664.4,59.93,9784.28,54.03,2651.38,99.08
14.52,779.43,9886.62,50.44,9982.17,53.97,2639.0,101.47
16.14,780.04,8888.89,51.17,9937.63,53.91,2627.34,98.86
23.28,780.66,9133.79,56.45,9947.55,53.91,2639.0,97.95
20.68,781.27,9038.55,53.52,9898.05,53.84,2641.31,90.0
17.8,782.19,9791.38,50.78,9912.94,53.8,2642.86,91.36
18.29,783.11,9551.02,53.98,9888.19,53.87,2644.41,90.51
15.98,783.72,9020.41,49.43,9903.01,53.97,2635.1,91.53
18.29,784.33,9551.02,53.98,9888.19,53.87,2644.41,90.51
15.98,784.94,9020.41,49.43,9903.01,53.97,2635.1,91.53
12.19,785.71,9755.1,55.93,9898.05,54.27,2641.31,89.6
13.2,786.02,11310.66,17.67,9383.68,54.88,2523.62,91.08
15.61,786.32,11687.07,56.85,9680.44,54.86,2632.83,89.88
20.69,786.64,10916.1,49.53,9769.46,54.88,2612.69,91.87
20.68,786.95,9482.99,56.36,9774.42,54.91,2635.93,92.61
20.32,787.26,10857.14,47.15,9784.28,54.91,2597.21,94.43
11.41,787.26,11387.76,45.86,9868.4,54.94,2590.24,94.26
17.43,787.57,10671.2,49.71,9764.49,54.97,2604.93,86.82
20.7,787.88,10970.52,48.09,9804.07,55.01,2601.07,86.59
20.71,788.19,10802.72,53.46,9784.28,55.01,2606.48,90.91
12.19,789.36,9755.1,55.93,9898.05,54.27,2641.31,89.6
13.2,789.68,11310.66,17.67,9383.68,54.88,2523.62,91.08
15.61,789.98,11687.07,56.85,9680.44,54.86,2632.83,89.88
20.69,790.3,10916.1,49.53,9769.46,54.88,2612.69,91.87
20.68,790.61,9482.99,56.36,9774.42,54.91,2635.93,92.61
20.32,790.91,10857.14,47.15,9784.28,54.91,2597.21,94.43
11.41,791.23,11387.76,45.86,9868.4,54.94,2590.24,94.26
17.43,791.53,10671.2,49.71,9764.49,54.97,2604.93,86.82
20.7,791.84,10970.52,48.09,9804.07,55.01,2601.07,86.59
20.71,792.15,10802.72,53.46,9784.28,55.01,2606.48,90.91
10.87,792.46,11346.94,50.11,9878.26,55.05,2617.35,92.89
10.36,792.76,10839.0,48.49,9947.55,55.12,2602.62,92.72
14.79,793.07,11102.04,50.2,9828.82,55.14,2613.48,93.63
13.81,793.38,8467.12,58.19,9705.2,55.18,2631.28,92.61
16.89,793.69,11519.27,45.71,9823.86,55.2,2609.59,95.51
13.9,793.99,11029.48,47.33,9977.2,55.22,2631.28,96.81
13.2,794.3,11591.84,49.07,10071.18,55.26,2627.42,99.2
16.89,794.6,11124.72,46.29,10001.96,55.28,2623.55,99.82
16.95,794.91,10879.82,45.22,9962.38,55.31,2628.17,98.46
19.99,795.21,10857.14,48.73,10001.96,55.31,2626.62,98.91
21.53,795.52,10970.52,50.47,9942.59,55.35,2632.07,98.8
18.93,795.82,10766.44,47.45,10066.22,55.37,2630.52,99.65
20.34,796.13,10820.86,47.73,10011.82,55.39,2622.0,99.08
21.07,796.44,11047.62,50.17,9952.45,55.39,2632.07,97.66
24.84,796.75,10725.62,49.65,9972.24,55.39,2628.17,98.74
20.71,797.06,10480.73,53.0,9873.36,55.41,2626.62,98.46
14.27,797.37,10557.82,48.58,9942.59,55.46,2619.66,98.91
13.72,797.67,11011.34,50.5,9883.22,55.49,2628.97,99.59
14.63,797.98,10916.1,49.62,9962.38,55.54,2615.79,98.97
18.04,798.28,11591.84,51.39,9903.01,55.56,2616.55,97.1
17.44,798.59,10503.4,47.21,9977.2,55.58,2622.76,97.15
18.67,798.9,10462.59,52.49,9848.61,55.6,2621.21,93.29
18.02,799.21,10820.86,48.67,9942.59,55.62,2628.17,88.29
17.75,799.52,10748.3,45.86,9898.05,55.67,2617.35,93.63
17.43,799.83,10312.93,50.87,10100.9,55.69,2626.62,95.51
15.98,800.13,11215.42,51.81,10086.01,55.73,2632.07,97.44
14.15,800.44,10952.38,57.0,10100.9,55.75,2628.97,98.46
14.07,800.75,10462.59,52.49,10194.88,55.77,2635.93,89.66
13.01,801.05,10802.72,48.55,10150.34,55.82,2635.14,96.24
17.97,801.36,10725.62,48.79,10184.95,55.83,2627.42,96.58
11.65,801.67,6376.42,65.51,9927.77,55.88,2659.17,89.77
21.07,801.98,9972.79,50.04,10135.51,55.9,2639.04,93.46
19.51,802.61,10993.2,49.28,10120.62,55.92,2622.0,91.53
15.56,802.92,10748.3,50.53,10130.55,55.94,2621.21,88.18
15.03,803.23,9501.13,45.53,10170.13,55.98,2622.0,90.05
8.04,803.54,11256.24,54.53,9996.99,56.03,2644.45,98.74
9.07,803.84,10839.0,51.91,10135.51,56.07,2630.52,93.75
11.77,804.15,10503.4,49.22,10155.3,56.11,2628.17,89.66
13.39,804.45,10634.92,50.41,10170.13,56.16,2628.17,88.97
11.94,804.76,10258.5,51.54,10086.01,56.19,2628.17,88.69
15.68,805.06,10426.3,48.0,10165.16,56.22,2625.07,86.59
14.83,805.37,10521.54,44.28,10234.39,56.26,2604.17,86.02
14.08,805.67,10897.96,51.08,10145.37,56.26,2634.38,86.48
19.25,805.98,10612.24,51.2,10130.55,56.28,2632.83,89.37
11.91,806.29,11142.86,46.72,10135.51,56.32,2630.52,87.84
11.55,806.59,11124.72,42.45,10179.98,56.37,2626.62,88.86
12.21,806.9,9351.47,53.86,10271.14,56.17,2621.93,95.85
21.5,807.21,9501.13,52.33,10246.45,56.19,2622.72,100.22
17.49,807.52,9936.51,50.2,10291.27,56.22,2618.82,101.13
16.44,807.83,10068.03,47.42,10246.45,56.24,2624.27,102.95
10.17,808.14,9990.93,56.15,10092.07,56.28,2641.31,96.64
9.65,808.44,10276.64,49.13,10346.09,56.32,2614.96,93.97
12.92,808.75,10163.27,48.92,10306.23,56.34,2615.72,95.17
12.86,809.05,10371.88,46.63,10251.49,56.34,2614.17,94.26
13.9,809.36,9691.61,54.04,10221.56,56.32,2612.61,91.13
12.77,809.66,9709.75,53.22,10191.71,56.37,2602.55,90.23
14.58,809.97,9900.23,51.69,10226.6,56.39,2604.1,94.26
15.53,810.27,9990.93,47.27,10236.52,56.41,2606.44,100.5
10.37,810.58,9859.41,57.79,10092.07,56.47,2627.34,102.09
9.63,810.88,9841.27,52.06,10301.27,56.51,2611.06,92.89
14.72,811.19,9464.85,46.02,10351.05,56.56,2612.61,96.64
17.16,811.49,9523.81,50.17,10201.64,56.58,2618.82,95.0
13.4,811.8,9596.37,51.02,10226.6,56.62,2627.34,92.5
14.73,812.11,9859.41,50.65,10261.41,56.68,2622.72,94.94
13.49,812.42,9637.19,51.05,10231.56,56.74,2624.27,95.34
13.01,812.73,9823.13,50.35,10246.45,56.81,2620.37,94.14
11.68,813.04,9464.85,51.39,10191.71,56.85,2618.82,94.71
13.56,813.34,9560.09,51.14,10211.63,56.87,2613.41,94.6
9.23,813.65,9541.95,51.91,10141.92,56.89,2614.96,93.86
14.3,813.96,9882.09,51.2,10117.03,56.89,2612.61,93.63
13.9,814.26,9823.13,52.12,10191.71,56.89,2613.41,95.85
10.87,814.57,10199.55,52.55,10151.85,56.89,2604.89,99.65
12.57,814.88,10897.96,47.02,10206.67,56.89,2608.0,99.25
13.24,815.18,9315.19,51.05,10131.93,56.92,2608.0,98.8
15.04,815.49,10086.17,49.43,10151.85,56.92,2605.65,102.61
14.85,815.79,9070.29,49.22,10134.06,56.94,2615.72,96.3
18.95,816.1,9578.23,49.98,10228.87,56.96,2614.17,99.65
16.04,816.41,10013.61,47.27,10203.91,56.96,2612.61,103.46
14.06,816.71,9882.09,51.17,9939.42,56.49,2597.89,96.13
15.97,817.02,9369.61,41.93,9984.44,56.53,2596.34,89.28
14.07,817.33,9768.71,47.91,9944.45,56.56,2600.24,93.49
12.29,817.64,9369.61,47.88,10294.24,56.58,2628.89,91.98
12.2,817.94,9482.99,49.65,10224.25,56.62,2637.45,95.7
9.11,818.25,9560.09,58.68,10139.3,56.66,2654.48,98.67
11.93,818.56,9709.75,47.54,10199.29,56.66,2621.17,96.67
9.06,818.87,9278.91,46.6,10214.25,56.71,2619.62,96.51
14.12,819.17,9219.95,45.25,10189.29,56.73,2623.48,100.07
14.33,819.48,9900.23,51.66,10269.21,56.74,2638.2,100.61
16.69,819.79,9392.29,52.85,10254.24,56.74,2630.44,99.69
17.26,820.09,9410.43,55.51,10209.29,56.77,2635.1,94.57
12.08,820.4,9410.43,49.74,10309.2,56.81,2635.1,94.62
8.72,820.71,9369.61,54.53,10254.24,56.87,2642.06,92.52
11.32,821.01,9351.47,48.82,10294.24,56.89,2645.17,92.95
13.41,821.32,9238.1,54.04,10299.2,56.94,2644.41,95.38
10.36,821.62,8675.74,52.06,10324.16,57.0,2640.55,98.18
13.07,821.93,9165.53,54.56,10314.16,57.02,2642.86,98.67
14.33,822.24,9015.87,53.13,10384.15,57.04,2646.72,98.34
16.95,822.55,9369.61,52.76,10354.15,57.07,2648.27,97.8
