ROP(1 m),Depth(m),weight on bit (kg),Rotary Speed (rpm),Pump Press (KPa),Temp In(degC),Flow In(liters/min),Flow Out %
46.71,56.46,0.0,87.65,2558.6,35.44,3736.46,96.3
64.64,56.77,0.0,82.73,2555.91,35.44,3735.71,98.75
24.42,57.07,0.0,117.7,2579.63,35.48,3741.08,98.77
20.85,57.38,0.0,113.72,2582.25,35.48,3738.02,97.86
56.67,57.69,0.0,101.75,2569.08,35.48,3738.77,100.21
20.24,58.01,0.0,154.14,2582.25,35.52,3738.77,96.32
61.06,58.31,0.0,93.6,2584.87,35.52,3748.01,98.26
26.54,58.64,0.0,47.23,2595.35,35.54,3751.83,99.66
27.8,58.94,0.0,98.23,2587.49,35.59,3759.56,96.72
73.27,59.25,0.0,83.22,2587.49,35.59,3761.11,96.0
29.06,59.56,0.0,87.37,2561.22,35.61,3741.08,94.53
137.37,59.9,0.0,0.0,2718.91,35.82,3855.14,95.41
186.44,60.27,0.0,0.0,2713.67,35.8,3856.69,94.97
188.89,60.58,0.0,15.22,2705.8,35.8,3852.83,94.09
206.06,60.9,0.0,0.0,2916.1,35.91,3903.74,97.23
154.54,61.24,0.0,17.51,2923.96,35.91,3919.15,97.6
116.76,61.56,0.0,16.74,2921.34,35.91,3914.53,98.56
109.9,61.87,0.0,52.93,2950.23,35.91,3923.01,97.86
24.32,62.19,0.0,0.0,3002.84,35.82,3982.25,98.7
64.64,62.5,0.0,49.9,2992.29,35.8,3996.86,98.72
54.64,62.81,0.0,68.88,3018.56,35.76,3992.24,97.91
59.65,63.13,0.0,6.49,3026.49,35.73,3984.56,97.05
56.67,63.44,0.0,0.0,2981.81,35.69,3984.56,97.4
73.26,63.75,0.0,0.0,3010.7,35.67,3986.11,97.16
43.96,64.05,0.0,0.0,3023.87,35.65,4005.34,98.42
47.22,64.36,0.0,0.0,3029.11,35.63,3998.42,98.33
61.05,64.66,0.0,0.0,3026.49,35.61,4004.59,97.35
50.77,64.99,0.0,0.0,3015.94,35.59,3993.8,97.37
55.6,65.31,0.0,0.0,3042.28,35.59,3997.66,97.28
38.77,65.64,0.0,0.0,3026.49,35.57,3986.87,95.72
42.58,65.95,0.0,0.0,3036.97,35.54,3996.86,96.14
40.7,66.26,0.0,0.0,3086.96,35.52,4024.57,97.65
70.83,66.57,0.0,0.0,3100.06,35.54,4039.22,97.07
37.67,66.89,0.0,0.0,3084.34,35.57,4042.29,97.95
50.77,67.21,0.0,0.0,3086.96,35.57,4037.67,97.56
68.68,67.52,0.0,0.0,3065.93,35.57,4030.74,98.42
34.34,67.82,0.0,0.0,3052.76,35.61,3999.21,97.81
30.73,68.13,0.0,0.0,3060.62,35.63,4008.45,96.21
52.33,68.43,0.0,0.0,3044.9,35.65,3992.28,97.88
64.87,68.75,0.0,0.0,3008.08,35.67,3982.25,98.42
36.63,69.05,0.0,0.0,3039.59,35.72,3984.56,97.4
30.16,69.37,0.0,0.0,3010.7,35.72,3969.19,96.09
53.97,69.68,0.0,0.0,3005.46,35.76,3986.11,96.46
91.58,69.99,0.0,0.0,3023.87,35.76,3978.43,95.58
80.95,70.3,0.0,0.0,3013.32,35.78,3980.74,95.37
