Depth(ft),Depth(m),ROP(1 ft),ROP(1 m),weight on bit (k-lbs),weight on bit (kg),Temp Out( degF),Temp Out( degC),Temp In(degF),Temp In(degC),Pit Total (bbls),Pit Total (m3),Pump Press (psi),Pump Press (KPa),Hookload (k-lbs),Hookload (kg),Surface Torque (psi),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow In(liters/min),Flow Out %,WH Pressure (psi),WH Pressure (KPa),H2S Floor,H2S Cellar,H2S Pits
5535.57,1687.16,13.28,4.05,24.95,11315.19,119.68,48.71,109.93,43.29,245.55,39.04,1207.19,8323.58,109.7,49750.57,181.68,1252.68,75.59,644.38,2439.24,75.57,0.41,2.83,-0.06,0.02,0.31
5536.58,1687.47,9.17,2.79,25.72,11664.40,119.91,48.84,110.01,43.34,245.06,38.96,1263.25,8710.11,108.94,49405.90,177.6,1224.55,76.94,653.43,2473.50,76.56,1.17,8.07,-0.06,0.02,0.28
5537.59,1687.78,10.5,3.20,25.55,11587.30,119.95,48.86,109.86,43.26,244.93,38.94,1248.86,8610.89,109.11,49482.99,181.22,1249.51,77.13,648.91,2456.39,72.65,1.17,8.07,-0.06,0.03,0.29
5538.6,1688.08,9.42,2.87,25.29,11469.39,119.83,48.79,109.9,43.28,244.43,38.86,1244.31,8579.52,109.36,49596.37,166.54,1148.29,79.09,649.55,2458.81,81.36,0.79,5.45,-0.06,0.01,0.26
5539.61,1688.39,11.59,3.53,25.55,11587.30,119.75,48.75,109.9,43.28,244.52,38.88,1227.64,8464.58,109.11,49482.99,176.49,1216.90,78.07,645.46,2443.33,80.18,0.79,5.45,-0.05,0.01,0.27
5540.68,1688.72,24.24,7.39,36.06,16353.74,119.72,48.73,109.9,43.28,244.98,38.95,1227.64,8464.58,98.59,44712.02,162.81,1122.57,79.78,644.81,2440.87,78.11,0.79,5.45,-0.05,0.01,0.26
5541.71,1689.03,17.11,5.21,30.1,13650.79,119.75,48.75,109.86,43.26,244.49,38.87,1236.73,8527.25,104.55,47414.97,163.91,1130.16,83.03,645.46,2443.33,77.5,0.79,5.45,-0.05,0.01,0.28
5542.73,1689.34,5.66,1.73,30.23,13709.75,119.75,48.75,110.01,43.34,244.59,38.89,1242.8,8569.11,104.42,47356.01,168.22,1159.88,78.87,642.23,2431.10,75.29,0.79,5.45,-0.05,0,0.27
5543.82,1689.67,6.79,2.07,38.32,17378.68,119.75,48.75,110.01,43.34,244.51,38.87,1233.7,8506.36,96.33,43687.07,162.77,1122.30,80.22,641.15,2427.02,74.82,0.79,5.45,-0.05,0.02,0.27
5544.83,1689.98,6.47,1.97,24.23,10988.66,119.75,48.75,109.74,43.19,244.49,38.87,1230.67,8485.47,110.43,50081.63,163,1123.89,78.19,639.21,2419.67,78.4,0.79,5.45,-0.05,0.01,0.28
5545.85,1690.29,10.08,3.07,24.57,11142.86,119.83,48.79,109.82,43.23,244.23,38.83,1242.8,8569.11,110.09,49927.44,173.71,1197.73,77.44,641.37,2427.85,77.17,0.41,2.83,-0.05,0.01,0.3
5546.86,1690.60,7.57,2.31,25.25,11451.25,119.91,48.84,109.93,43.29,243.66,38.74,1253.4,8642.19,109.4,49614.51,142.98,985.85,60.75,643.52,2435.99,76.32,0.41,2.83,-0.05,0.01,0.3
5547.87,1690.91,7.45,2.27,25.46,11546.49,120.02,48.90,109.97,43.32,243.2,38.67,1242.04,8563.87,109.19,49519.27,170.47,1175.39,71.01,641.37,2427.85,77.22,0.41,2.83,-0.06,0.01,0.31
5548.88,1691.22,10.24,3.12,24.23,10988.66,119.98,48.88,110.16,43.42,243.12,38.65,1248.86,8610.89,110.43,50081.63,178.06,1227.72,81.09,640.51,2424.59,75.62,0.41,2.83,-0.05,0.01,0.32
5549.88,1691.52,7.08,2.16,25.8,11700.68,120.14,48.97,110.28,43.49,242.92,38.62,1239.01,8542.97,108.85,49365.08,136.92,944.06,60.61,638.35,2416.42,77.88,0.03,0.21,-0.04,0.01,0.32
5550.9,1691.83,7.56,2.30,24.27,11006.80,120.1,48.94,110.28,43.49,242.23,38.51,1240.52,8553.39,110.38,50058.96,161.28,1112.03,81.05,637.06,2411.53,76.23,0.03,0.21,-0.05,0,0.31
5551.98,1692.16,8.63,2.63,25,11337.87,120.14,48.97,110.09,43.38,241.05,38.32,1232.95,8501.19,137.8,62494.33,154.61,1066.04,68.83,635.12,2404.19,78.72,0.41,2.83,-0.04,0,0.31
5553.04,1692.48,9.98,3.04,23.7,10748.30,120.14,48.97,110.09,43.38,241.28,38.36,1222.34,8428.03,130.95,59387.76,157.93,1088.93,70.69,631.68,2391.17,82.02,0.41,2.83,-0.04,0,0.32
5554.07,1692.80,11.3,3.44,24.23,10988.66,119.49,48.61,108.75,42.64,238.72,37.95,1240.52,8553.39,110.43,50081.63,149.96,1033.97,78.58,632.54,2394.42,74.44,0.03,0.21,-0.04,-0.01,0.32
5555.08,1693.11,9.42,2.87,23.67,10734.69,119.41,48.56,108.71,42.62,237.11,37.70,1214.76,8375.77,110.98,50331.07,161.2,1111.47,77.46,642.23,2431.10,76.7,0.41,2.83,-0.05,0.01,0.32
5556.09,1693.41,9.55,2.91,28.19,12784.58,119.72,48.73,109.1,42.83,236.34,37.58,1131.43,7801.21,106.47,48285.71,163.45,1126.99,87.67,677.55,2564.80,76.46,0.41,2.83,-0.06,0,0.3
5557.1,1693.72,12.55,3.83,29.17,13229.02,119.79,48.77,109.21,42.89,236.73,37.64,1157.18,7978.76,105.49,47841.27,166.92,1150.91,93.02,663.98,2513.44,74.11,0.41,2.83,-0.06,0,0.32
5558.11,1694.03,10.43,3.18,27.8,12607.71,119.75,48.75,109.17,42.87,236.93,37.67,1198.1,8260.90,106.85,48458.05,171.08,1179.60,90.84,656.87,2486.52,77.97,0.79,5.45,-0.06,-0.01,0.31
5559.13,1694.34,11.6,3.54,28.02,12707.48,119.68,48.71,109.1,42.83,236.87,37.66,1200.37,8276.55,106.64,48362.81,174.24,1201.38,89.94,647.83,2452.30,75.38,0.79,5.45,-0.05,-0.01,0.32
5560.14,1694.65,11.61,3.54,30.06,13632.65,119.53,48.63,108.98,42.77,236.77,37.64,1213.25,8365.36,104.59,47433.11,169.59,1169.32,93.23,643.74,2436.82,69.31,0.79,5.45,-0.05,-0.01,0.31
