Depth(ft),Depth(m),ROP(1 ft),ROP(1 m),weight on bit (k-lbs),weight on bit (kg),Temp Out( degF),Temp Out( degC),Temp In(degF),Temp In(degC),Pit Total (bbls),Pit Total (m3),Pump Press (psi),Pump Press (KPa),Hookload (k-lbs),Hookload (kg),Surface Torque (psi),Surface Torque (KPa),Rotary Speed (rpm),Flow In (gal/min),Flow In(liters/min),Flow Out %,WH Pressure (psi),WH Pressure (KPa),H2S Floor,H2S Cellar,H2S Pits
1528.81,465.96,48.44,14.76,19.65,8911.56,119.87,48.82,117.48,47.49,246.77,39.23,613.55,4230.43,52.65,23877.55,98.64,680.12,82.9,861.27,3260.26,90.74,8.26,56.95,-0.01,0,0
1529.83,466.27,55.45,16.90,19.44,8816.33,120.02,48.90,117.52,47.51,246.58,39.20,612.79,4225.19,52.86,23972.79,99.44,685.64,84.95,859.63,3254.05,91.23,8.26,56.95,-0.01,0,0.01
1530.84,466.58,50.16,15.29,18.32,8308.39,120.1,48.94,117.56,47.53,246.58,39.20,614.69,4238.29,53.98,24480.73,96.43,664.88,81.53,863.11,3267.23,90.61,8.26,56.95,0,-0.01,0.01
1531.86,466.89,61.04,18.60,18.74,8498.87,120.06,48.92,117.67,47.59,246.41,39.18,613.93,4233.05,53.56,24290.25,99.75,687.78,79.49,863.31,3267.98,89.16,8.26,56.95,0,0,-0.01
1532.91,467.21,55.83,17.02,21.06,9551.02,120.14,48.97,117.75,47.64,246.8,39.24,616.6,4251.46,51.24,23238.10,98.56,679.57,83.88,864.95,3274.19,90.44,8.26,56.95,0,0,0
1533.93,467.52,64.24,19.58,19.07,8648.53,120.56,49.20,117.75,47.64,246.8,39.24,613.17,4227.81,53.23,24140.59,99.94,689.09,81.38,860.86,3258.71,88.9,8.26,56.95,-0.01,0,0
1534.97,467.84,66.65,20.31,19.03,8630.39,120.36,49.09,117.75,47.64,246.82,39.24,614.69,4238.29,53.27,24158.73,99.1,683.29,85.86,864.95,3274.19,89.47,8.26,56.95,-0.01,0,0
1535.99,468.15,85.17,25.96,19.57,8875.28,120.33,49.07,117.75,47.64,247.13,39.29,610.5,4209.40,52.73,23913.83,100.28,691.43,80.62,862.08,3263.33,88.72,8.26,56.95,-0.01,0.01,-0.01
1537,468.45,62.16,18.95,20.65,9365.08,120.36,49.09,117.75,47.64,247.14,39.29,612.03,4219.95,51.65,23424.04,97.61,673.02,83.76,861.27,3260.26,87.8,8.64,59.57,-0.01,0.01,-0.01
1538.02,468.77,64.24,19.58,19.9,9024.94,120.36,49.09,117.71,47.62,247.52,39.35,613.55,4230.43,52.4,23764.17,99.02,682.74,86.78,862.29,3264.12,88.11,8.26,56.95,-0.01,0.02,0.01
1539.08,469.09,71.72,21.86,19.24,8725.62,120.4,49.11,117.71,47.62,247.83,39.40,611.64,4217.26,53.06,24063.49,99.29,684.60,82.32,859.63,3254.05,86.53,8.64,59.57,-0.01,0.02,0
1540.09,469.40,74.74,22.78,18.82,8535.15,120.36,49.09,117.71,47.62,247.69,39.38,613.17,4227.81,53.48,24253.97,101.77,701.70,80.86,861.06,3259.47,87.14,8.64,59.57,-0.01,0.03,0
1541.11,469.71,73.17,22.30,18.37,8331.07,120.36,49.09,117.67,47.59,248.16,39.45,615.08,4240.98,53.93,24458.05,102.07,703.77,80.22,861.47,3261.02,87.19,8.26,56.95,0,-0.01,0.01
1542.15,470.02,74.65,22.75,19.36,8780.05,120.78,49.32,117.64,47.58,248.72,39.54,618.13,4262.01,52.94,24009.07,99.67,687.22,82.63,866.38,3279.60,87.49,8.26,56.95,0,-0.01,-0.01
1543.16,470.33,69.13,21.07,16.13,7315.19,120.29,49.05,117.64,47.58,248.98,39.58,608.59,4196.23,56.17,25473.92,100.55,693.29,84.25,860.45,3257.16,88.37,8.26,56.95,-0.01,0,-0.01
1544.2,470.65,116.72,35.57,17.78,8063.49,120.14,48.97,117.64,47.58,248.46,39.50,612.79,4225.19,54.52,24725.62,95.82,660.68,91.35,861.88,3262.57,88.86,8.26,56.95,0,0.01,0
1545.22,470.96,23.49,7.16,10.19,4621.32,120.67,49.26,117.83,47.68,245.41,39.02,606.69,4183.13,62.11,28167.80,78.17,538.98,98.52,839.25,3176.91,87.93,8.26,56.95,-0.01,0.03,0.01
1546.26,471.28,57.43,17.50,14.34,6503.40,120.67,49.26,117.86,47.70,244.94,38.94,616.98,4254.08,57.96,26285.71,90.98,627.31,76.65,846,3202.46,87.01,8.26,56.95,-0.01,0.02,-0.01
1547.27,471.58,70.43,21.47,12.81,5809.52,120.21,49.01,117.94,47.74,244.87,38.93,623.08,4296.14,59.49,26979.59,94.26,649.92,78.88,848.07,3210.29,87.36,8.26,56.95,0,0.01,0.01
1548.29,471.90,61.03,18.60,14.01,6353.74,119.91,48.84,118.02,47.79,244.11,38.81,645.19,4448.59,58.29,26435.37,90.52,624.14,80.1,892.97,3380.26,88.5,8.26,56.95,-0.01,0.02,0.01
1549.31,472.21,49.75,15.16,14.42,6539.68,119.75,48.75,118.13,47.85,243.93,38.78,621.56,4285.66,57.88,26249.43,96.13,662.82,73.14,848.05,3210.22,86.88,8.26,56.95,-0.01,0.01,0.01
1550.33,472.52,73.26,22.33,14.38,6521.54,119.56,48.64,118.17,47.87,243.81,38.76,604.78,4169.96,57.92,26267.57,89.53,617.31,89.74,851.45,3223.09,87.05,8.26,56.95,0,0.02,0
1551.34,472.83,91.6,27.92,14.92,6766.44,119.56,48.64,118.21,47.89,243.74,38.75,604.78,4169.96,57.38,26022.68,95.29,657.02,72.9,850.22,3218.43,87.36,8.26,56.95,-0.01,0.02,0
1552.36,473.14,52.31,15.94,14.92,6766.44,119.64,48.69,118.28,47.93,243.52,38.72,603.64,4162.10,57.38,26022.68,91.47,630.69,94.13,849.4,3215.33,87.19,8.26,56.95,0,0,0
1553.4,473.45,55.68,16.97,15.05,6825.40,120.02,48.90,118.36,47.98,243.51,38.71,602.88,4156.86,57.25,25963.72,93.8,646.75,90.44,850.22,3218.43,85.74,8.26,56.95,-0.01,0,0
1554.41,473.76,46.92,14.30,14.42,6539.68,120.1,48.94,118.4,48.00,243.3,38.68,608.98,4198.92,57.88,26249.43,90.44,623.58,96.21,855.13,3237.02,89.25,8.64,59.57,-0.01,0.01,0
1555.43,474.07,55.46,16.90,14.42,6539.68,120.17,48.98,118.47,48.04,243.29,38.68,604.78,4169.96,57.88,26249.43,94.6,652.27,72.07,851.86,3224.64,88.11,8.64,59.57,-0.01,0.02,0.01
1556.45,474.38,63.09,19.23,15.5,7029.48,120.25,49.03,118.51,48.06,243.19,38.66,612.79,4225.19,56.8,25759.64,94.6,652.27,80.4,858.61,3250.19,88.02,8.26,56.95,-0.01,0.02,0.01
1557.46,474.69,63.11,19.23,14.42,6539.68,120.44,49.13,118.51,48.06,243.14,38.66,616.98,4254.08,57.88,26249.43,97.42,671.71,76.01,857.38,3245.53,88.94,8.26,56.95,-0.01,0,0.01
1558.48,475.00,79.65,24.28,14.05,6371.88,120.71,49.28,118.51,48.06,242.85,38.61,612.03,4219.95,58.25,26417.23,90.14,621.52,87.66,854.52,3234.71,88.2,8.26,56.95,-0.01,-0.01,0
1559.52,475.32,76.16,23.21,13.89,6299.32,120.78,49.32,118.51,48.06,242.6,38.57,612.79,4225.19,58.41,26489.80,89.95,620.21,92.33,857.79,3247.09,88.5,8.26,56.95,-0.02,0.01,0
1560.54,475.63,79.64,24.27,15.01,6807.26,120.97,49.43,118.51,48.06,242.75,38.59,612.03,4219.95,57.29,25981.86,95.25,656.75,81.26,856.36,3241.67,88.94,8.26,56.95,-0.01,0,0.01
1561.57,475.94,54.86,16.72,16.33,7405.90,120.94,49.41,118.51,48.06,242.25,38.51,610.88,4212.02,55.97,25383.22,92.47,637.58,82.93,854.31,3233.91,89.25,7.88,54.33,-0.02,0.02,0.01
1562.59,476.25,61.05,18.61,14.01,6353.74,120.97,49.43,118.55,48.08,242.1,38.49,609.74,4204.16,58.29,26435.37,92.5,637.79,83.51,856.15,3240.88,89.29,8.26,56.95,-0.01,0.01,0.01
1563.61,476.57,57.39,17.49,15.34,6956.92,120.71,49.28,118.59,48.11,241.99,38.47,615.46,4243.60,56.96,25832.20,90.79,626.00,90.26,859.22,3252.50,87.8,8.26,56.95,-0.01,0.01,0.01
1564.64,476.88,52.54,16.01,15.42,6993.20,120.1,48.94,118.59,48.11,241.92,38.46,617.74,4259.32,56.88,25795.92,89.15,614.69,89.8,857.6,3246.37,89.12,8.26,56.95,-0.01,0.01,0.01
1565.66,477.19,39.36,12.00,15.59,7070.29,119.64,48.69,118.7,48.17,241.16,38.34,641.38,4422.32,56.71,25718.82,88.39,609.45,82.81,861.17,3259.88,90.26,8.26,56.95,-0.02,0.02,0.01
1566.7,477.51,77.76,23.70,13.18,5977.32,119.49,48.61,118.7,48.17,240.95,38.31,641,4419.70,59.12,26811.79,91.28,629.38,76.16,862.61,3265.33,89.73,8.26,56.95,-0.01,0.02,0
1567.71,477.81,73.25,22.33,15.54,7047.62,119.37,48.54,118.74,48.19,240.79,38.28,646.34,4456.51,56.76,25741.50,86.37,595.52,87.72,863.84,3269.99,89.56,8.26,56.95,0,0.01,0.01
1568.73,478.13,43.05,13.12,16.08,7292.52,119.49,48.61,118.78,48.21,240.21,38.19,648.63,4472.30,56.22,25496.60,87.78,605.24,89.71,868.75,3288.57,88.77,8.26,56.95,0,0.01,0
1569.75,478.44,46.93,14.30,14.96,6784.58,119.34,48.52,118.86,48.26,240.19,38.19,650.91,4488.02,57.34,26004.54,91.59,631.51,90.59,868.55,3287.82,91.18,8.26,56.95,-0.01,0.01,0.01
1570.76,478.74,40.53,12.35,14.26,6467.12,119.11,48.39,118.97,48.32,239.84,38.13,653.96,4509.05,58.04,26322.00,89.22,615.17,95.5,867.73,3284.71,91.27,8.26,56.95,0,0.01,0
1571.78,479.06,71.84,21.90,15.17,6879.82,118.95,48.31,119.01,48.34,239.49,38.08,653.2,4503.81,57.13,25909.30,89.76,618.90,92.33,871.62,3299.44,91.01,7.88,54.33,0,0.01,0.01
1572.8,479.37,36.95,11.26,14.71,6671.20,118.73,48.18,119.08,48.38,239.09,38.01,655.49,4519.60,57.59,26117.91,88.69,611.52,92.82,869.78,3292.47,90.57,7.88,54.33,0,0.02,0
1573.81,479.67,41.6,12.68,14.92,6766.44,118.92,48.29,119.2,48.44,238.38,37.90,654.73,4514.36,57.38,26022.68,86.94,599.45,93.8,870.8,3296.34,92.32,8.26,56.95,-0.02,0.02,0
1574.85,479.99,63.25,19.28,17.74,8045.35,118.88,48.27,119.24,48.47,238.32,37.89,654.73,4514.36,54.56,24743.76,93.65,645.72,82.45,871.01,3297.13,92.28,8.26,56.95,-0.01,0.01,0.01
1575.89,480.31,57.42,17.50,17.16,7782.31,118.95,48.31,119.27,48.48,237.67,37.79,657.78,4535.39,55.14,25006.80,96.81,667.50,75.76,872.64,3303.30,91.62,8.64,59.57,-0.01,0.01,0
1576.9,480.62,45.74,13.94,17.37,7877.55,119.07,48.37,119.35,48.53,237.44,37.75,658.54,4540.63,54.93,24911.56,94.71,653.03,84.31,872.24,3301.79,91.36,8.64,59.57,0,0.01,0
1577.94,480.93,43.68,13.31,12.99,5891.16,118.5,48.06,119.27,48.48,234.38,37.26,571.23,3938.63,59.91,27170.07,81.9,564.70,92.48,805.67,3049.79,88.28,7.88,54.33,-0.01,0.01,0
1578.96,481.24,59.06,18.00,19.67,8920.63,119.11,48.39,119.27,48.48,234.34,37.26,585.72,4038.54,53.23,24140.59,108.52,748.25,57.43,827.12,3130.99,86.35,8.26,56.95,-0.01,0.02,-0.01
1579.98,481.55,66.58,20.29,20.42,9260.77,119.34,48.52,119.31,48.51,234.31,37.25,594.49,4099.01,52.48,23800.45,100.7,694.33,82.9,832.45,3151.16,87.54,8.26,56.95,0,0.01,0
1580.99,481.86,50.15,15.28,18.18,8244.90,119.49,48.61,119.35,48.53,234.06,37.21,588.77,4059.57,54.72,24816.33,96.77,667.23,92.82,827.95,3134.13,87.71,8.26,56.95,0,0.01,0
1582.01,482.17,48.79,14.87,18.34,8317.46,119.75,48.75,119.39,48.55,234.3,37.25,597.16,4117.42,54.56,24743.76,98.15,676.74,89.37,833.68,3155.82,88.94,7.88,54.33,0,0.01,-0.01
1583.02,482.48,42.54,12.97,17.18,7791.38,119.56,48.64,119.47,48.59,234.29,37.25,604.02,4164.72,55.72,25269.84,102.07,703.77,85.1,834.51,3158.96,88.06,8.26,56.95,-0.01,0.01,0
1584.04,482.79,55.46,16.90,17.1,7755.10,119.53,48.63,119.5,48.61,234.3,37.25,615.46,4243.60,55.8,25306.12,120.91,833.67,61,841.68,3186.10,88.64,8.26,56.95,-0.01,0.01,0
1585.06,483.10,38.12,11.62,18.59,8430.84,119.53,48.63,119.54,48.63,234.3,37.25,614.31,4235.67,54.31,24630.39,120.26,829.19,62.92,841.49,3185.38,87.32,8.64,59.57,0,0.01,0
1586.08,483.41,57.21,17.44,17.97,8149.66,119.56,48.64,119.54,48.63,234.22,37.24,622.32,4290.90,54.93,24911.56,151.1,1041.83,78.17,844.57,3197.04,88.02,8.64,59.57,0,0,0.01
1587.09,483.72,39.35,11.99,17.1,7755.10,119.83,48.79,119.54,48.63,235,37.36,621.56,4285.66,55.8,25306.12,149.12,1028.18,76.83,841.92,3187.01,87.45,8.26,56.95,0,0.01,0.01
1588.11,484.03,30.74,9.37,18.43,8358.28,119.79,48.77,119.54,48.63,235.32,37.41,629.18,4338.20,54.47,24702.95,167.95,1158.02,72.65,847.64,3208.66,87.05,8.64,59.57,0,0.01,0
1589.12,484.34,21.39,6.52,15.23,6907.03,119.91,48.84,119.5,48.61,235.62,37.46,635.28,4380.26,57.67,26154.20,160.67,1107.82,73.2,856.82,3243.41,83.15,9.03,62.26,0,0.01,0.01
1590.14,484.65,35.18,10.72,19.01,8621.32,119.34,48.52,119.43,48.57,235.38,37.42,631.09,4351.37,53.89,24439.91,160.56,1107.06,70.36,854.98,3236.45,86.4,8.64,59.57,0,0.01,0.02
1591.16,484.96,30.75,9.37,17.76,8054.42,119.14,48.41,119.39,48.55,235.29,37.41,629.56,4340.82,55.14,25006.80,156.32,1077.83,78.51,855.18,3237.21,83.54,8.64,59.57,-0.01,-0.01,0.03
1592.19,485.28,36.55,11.14,19.75,8956.92,119.11,48.39,119.35,48.53,235.11,37.38,627.28,4325.10,53.15,24104.31,149.2,1028.73,86.11,853.55,3231.04,83.23,8.26,56.95,0,0.02,0.01
1593.21,485.59,63.15,19.25,16.35,7414.97,119.03,48.35,119.39,48.55,234.99,37.36,631.85,4356.61,56.55,25646.26,149.12,1028.18,85.98,856.82,3243.41,84.16,8.26,56.95,0,-0.02,0.01
1594.23,485.90,42.22,12.87,23.2,10521.54,119.11,48.39,119.39,48.55,235.18,37.39,628.04,4330.34,49.7,22539.68,144.43,995.84,91.54,856,3240.31,83.89,7.88,54.33,0,-0.01,0.01
1595.24,486.21,24.9,7.59,14.86,6739.23,119.41,48.56,119.39,48.55,235.19,37.39,628.42,4332.96,58.04,26322.00,168.98,1165.12,71.77,857.42,3245.69,83.01,8.64,59.57,0,0,0.02
1596.26,486.52,50.11,15.27,13.9,6303.85,121.39,49.66,119.39,48.55,235.18,37.39,631.09,4351.37,59,26757.37,180.5,1244.55,77.17,854.36,3234.10,84.99,8.64,59.57,0,-0.01,0.01
1597.28,486.83,43.56,13.28,14.4,6530.61,122.16,50.09,119.43,48.57,235,37.36,631.09,4351.37,58.5,26530.61,183.89,1267.92,77.59,856.61,3242.62,85.96,9.03,62.26,0,-0.02,0.02
1598.29,487.14,28.8,8.78,14.07,6380.95,122.61,50.34,119.47,48.59,235.3,37.41,633.76,4369.78,58.83,26680.27,193,1330.74,72.1,858.05,3248.07,85.21,8.64,59.57,0,-0.01,0.01
1599.31,487.45,27.09,8.26,15.65,7097.51,122.61,50.34,119.62,48.68,235.35,37.42,632.61,4361.85,57.25,25963.72,192.54,1327.56,71.92,857.84,3247.28,86.13,9.03,62.26,0,0,0.02
1600.33,487.76,23.17,7.06,18.26,8281.18,122.8,50.44,119.69,48.72,235.26,37.40,630.33,4346.13,54.64,24780.05,197.8,1363.83,68.08,855.18,3237.21,86.22,8.64,59.57,0,-0.02,0.01
1601.34,488.06,18,5.49,18.3,8299.32,123,50.56,119.81,48.78,235.28,37.41,661.97,4564.28,54.6,24761.90,217.86,1502.14,71.34,905.94,3429.35,89.51,9.41,64.88,0,0,0
1602.36,488.38,20.4,6.22,15.94,7229.02,123,50.56,119.88,48.82,235.72,37.48,644.05,4440.72,56.96,25832.20,208.67,1438.78,72.74,867.87,3285.24,86.4,9.41,64.88,0,-0.01,0.01
1603.37,488.68,25.87,7.88,16.06,7283.45,123.11,50.62,119.88,48.82,235.63,37.46,636.43,4388.18,56.84,25777.78,218.43,1506.07,82.54,841.24,3184.44,88.15,9.03,62.26,0,0,0.01
1604.39,488.99,18.2,5.55,17.51,7941.04,123.26,50.70,119.96,48.87,234.87,37.34,655.87,4522.22,55.39,25120.18,224,1544.48,80.92,850.7,3220.25,86.18,9.41,64.88,0,0.01,0.02
1605.41,489.31,18.08,5.51,4.2,1904.76,123.22,50.68,120.08,48.93,234.97,37.36,655.49,4519.60,68.7,31156.46,212.75,1466.91,89.62,853.19,3229.67,91.97,9.03,62.26,0,0,0.01
1606.42,489.61,40.19,12.25,9.26,4199.55,123.3,50.72,120.11,48.95,234.85,37.34,662.35,4566.90,63.64,28861.68,224.19,1545.79,78.75,856.26,3241.30,90.48,9.41,64.88,0,0,0.01
1607.44,489.92,35.51,10.82,13.32,6040.82,123.41,50.78,120.15,48.97,234.59,37.30,666.16,4593.17,59.58,27020.41,224.07,1544.96,82.9,863.22,3267.64,90.48,9.03,62.26,0,0,0.02
1608.47,490.24,26.98,8.22,17.26,7827.66,123.57,50.87,120.23,49.02,234.16,37.23,663.49,4574.76,55.64,25233.56,221.63,1528.14,80.86,868.75,3288.57,87.49,9.41,64.88,0,0.01,0.01
1609.49,490.55,40.63,12.38,18.51,8394.56,123.64,50.91,120.23,49.02,233.83,37.18,664.26,4580.07,54.39,24666.67,223.73,1542.62,78.63,867.73,3284.71,91.71,9.41,64.88,0,0.02,0.02
1610.49,490.85,23.91,7.29,13.36,6058.96,123.91,51.06,120.23,49.02,225.32,35.82,665.4,4587.93,59.33,26907.03,238.98,1647.77,84.55,874.26,3309.43,88.72,9.79,67.50,0,0.02,0.01
1611.51,491.16,30.99,9.45,17.34,7863.95,123.72,50.96,120.11,48.95,225.61,35.87,651.29,4490.64,55.35,25102.04,225.75,1556.55,82.38,860.77,3258.37,88.64,9.41,64.88,0,0.01,0.02
1612.52,491.47,24.34,7.42,17.55,7959.18,123.57,50.87,119.96,48.87,226.89,36.07,656.63,4527.46,55.14,25006.80,226.93,1564.68,74.94,860.36,3256.82,90.7,9.79,67.50,0,0.01,0.01
1613.54,491.78,34.84,10.62,17.46,7918.37,123.34,50.74,119.85,48.81,227.4,36.15,657.39,4532.70,55.22,25043.08,221.06,1524.21,85.34,862.82,3266.13,88.99,9.41,64.88,0,0.02,0.01
1614.55,492.09,25.58,7.80,18.91,8575.96,123.45,50.81,119.66,48.70,228.33,36.30,640.24,4414.45,53.77,24385.49,228.8,1577.58,79.79,854.01,3232.78,87.89,9.41,64.88,0,-0.01,0.02
1615.57,492.40,30.73,9.37,18.42,8353.74,123.61,50.89,119.54,48.63,228.81,36.38,657.01,4530.08,54.27,24612.24,228.65,1576.54,83.67,833.02,3153.32,87.93,9.41,64.88,0,0,0
1616.59,492.71,26.63,8.12,18.62,8444.44,123.76,50.98,119.39,48.55,229.19,36.44,627.28,4325.10,54.06,24517.01,233.49,1609.91,75.09,860.03,3255.57,85.25,9.79,67.50,0,0.02,0
1617.6,493.02,21.34,6.50,16.97,7696.15,123.91,51.06,119.31,48.51,230.41,36.63,626.89,4322.41,55.72,25269.84,228.76,1577.30,86.26,860.24,3256.36,88.42,9.79,67.50,0,0.01,0.01
1618.62,493.33,24.07,7.34,17.34,7863.95,123.91,51.06,119.24,48.47,230.63,36.67,622.7,4293.52,55.35,25102.04,229.22,1580.47,86.66,859.62,3254.01,88.77,9.79,67.50,0,0,0
1619.64,493.64,29.03,8.85,12.73,5773.24,123.95,51.08,119.27,48.48,230.88,36.71,622.7,4293.52,59.95,27188.21,229.11,1579.71,90.44,861.06,3259.47,85.91,9.41,64.88,0,0.02,0.01
1620.65,493.95,29.67,9.04,17.17,7786.85,123.87,51.04,119.31,48.51,230.62,36.67,618.13,4262.01,55.51,25174.60,193.69,1335.49,114.76,853.49,3230.81,87.01,9.41,64.88,0,0,0
1621.67,494.26,11.95,3.64,13.07,5927.44,123.72,50.96,119.69,48.72,230.48,36.64,624.99,4309.31,59.62,27038.55,131.58,907.24,95.53,851.03,3221.50,86.26,8.26,56.95,0,0.01,0
1622.69,494.57,28.15,8.58,13.69,6208.62,123.64,50.91,119.77,48.76,230.48,36.64,623.08,4296.14,59,26757.37,138.25,953.23,84.73,850.82,3220.70,85.12,8.64,59.57,0,0.01,0
1623.7,494.88,31.33,9.55,16.88,7655.33,123.68,50.93,119.85,48.81,230.05,36.58,620.79,4280.35,55.8,25306.12,150.87,1040.25,77.32,850.83,3220.74,86.26,9.03,62.26,-0.01,0,0.01
1624.72,495.19,25.05,7.63,15.43,6997.73,123.68,50.93,119.88,48.82,229.59,36.50,624.99,4309.31,57.25,25963.72,164.45,1133.88,76.65,856.56,3242.43,86.04,9.03,62.26,0,0.01,0.01
1625.73,495.50,30.23,9.21,15.85,7188.21,123.61,50.89,119.92,48.84,229.36,36.47,624.99,4309.31,56.84,25777.78,153.47,1058.18,85.92,855.33,3237.77,85.96,8.64,59.57,-0.01,0.03,0
1626.75,495.81,40.21,12.26,13.81,6263.04,123.64,50.91,119.96,48.87,229.2,36.44,624.99,4309.31,58.87,26698.41,148.01,1020.53,86.14,854.31,3233.91,88.5,9.03,62.26,-0.01,0,0
1627.77,496.12,17.85,5.44,16.72,7582.77,123.57,50.87,119.96,48.87,229.37,36.47,626.51,4319.79,55.97,25383.22,135.97,937.51,95.6,853.9,3232.36,90.96,8.64,59.57,-0.01,0.01,0.01
1628.78,496.43,17.59,5.36,15.22,6902.49,123.57,50.87,119.88,48.82,229.48,36.48,621.56,4285.66,57.46,26058.96,141.95,978.75,94.25,854.1,3233.12,90.26,8.64,59.57,-0.01,0,0
1629.82,496.74,21.94,6.69,16.43,7451.25,123.53,50.85,119.88,48.82,229.55,36.50,616.22,4248.84,56.26,25514.74,143.44,989.02,90.5,849.8,3216.84,90,8.64,59.57,-0.01,0,0.01
1630.84,497.06,43.58,13.28,12.82,5814.06,123.57,50.87,119.85,48.81,229.32,36.46,618.13,4262.01,59.87,27151.93,141.61,976.40,94.95,849.19,3214.53,89.56,8.64,59.57,-0.01,0.01,0
1631.87,497.37,70.38,21.45,13.85,6281.18,123.53,50.85,119.85,48.81,229.62,36.51,622.7,4293.52,58.83,26680.27,141.57,976.13,94.1,851.03,3221.50,89.73,8.64,59.57,-0.01,-0.01,0.01
1632.89,497.68,47.51,14.48,13.98,6340.14,123.53,50.85,119.85,48.81,229.48,36.48,623.08,4296.14,58.71,26625.85,145.92,1006.12,86.9,851.03,3221.50,90.17,8.26,56.95,-0.01,0,0.01
1633.9,497.99,41.55,12.66,13.77,6244.90,123.53,50.85,119.92,48.84,229.89,36.55,622.32,4290.90,58.91,26716.55,146.6,1010.81,88.55,847.96,3209.88,90.13,8.64,59.57,-0.01,0.01,0
1634.92,498.30,36.94,11.26,15.89,7206.35,123.53,50.85,119.92,48.84,229.92,36.55,621.18,4283.04,56.8,25759.64,144.51,996.40,94.62,852.26,3226.15,89.29,8.64,59.57,-0.01,0.01,0.01
1635.94,498.61,39.23,11.96,18.29,8294.78,123.53,50.85,120,48.89,229.84,36.54,627.28,4325.10,54.39,24666.67,151.48,1044.45,95.29,852.67,3227.71,88.86,8.64,59.57,-0.01,0.02,0.01
1636.95,498.92,22.59,6.89,17.17,7786.85,123.57,50.87,120.11,48.95,229.98,36.56,623.84,4301.38,55.51,25174.60,155.33,1071.00,91.29,852.46,3226.91,88.59,8.64,59.57,-0.01,0.01,0.01
1637.97,499.23,25.97,7.92,16.84,7637.19,123.53,50.85,120.19,48.99,230.01,36.57,618.51,4264.63,55.84,25324.26,139.82,964.06,97.3,849.6,3216.08,88.46,8.64,59.57,-0.01,0,0.01
1638.99,499.54,36.21,11.04,13.4,6077.10,123.57,50.87,120.23,49.02,230.37,36.63,622.7,4293.52,59.29,26888.89,134.67,928.55,102.15,850.42,3219.19,88.42,8.26,56.95,-0.01,0.02,0.01
1640,499.85,49.34,15.04,19.99,9065.76,123.45,50.81,120.27,49.04,230.41,36.63,619.65,4272.49,52.69,23895.69,139.85,964.27,92.21,850.62,3219.95,89.03,8.26,56.95,0,0.01,0.01
1641.02,500.16,48.25,14.71,17.84,8090.70,123.64,50.91,119.69,48.72,229.7,36.52,636.81,4390.80,54.85,24875.28,142.33,981.37,87.11,860.64,3257.88,88.46,8.64,59.57,-0.01,0,0
1642.04,500.47,31.26,9.53,17.79,8068.03,123.76,50.98,119.81,48.78,229.98,36.56,635.28,4380.26,54.89,24893.42,145.34,1002.12,77.59,862.69,3265.64,81.08,8.64,59.57,-0.01,0.02,0
1643.05,500.78,31.86,9.71,19.04,8634.92,123.68,50.93,119.92,48.84,230.13,36.59,644.43,4443.34,53.64,24326.53,175.31,1208.76,57.09,866.98,3281.87,82.49,9.41,64.88,0,0.02,0
1644.07,501.09,53.85,16.41,17.88,8108.84,123.68,50.93,120,48.89,230.5,36.65,643.67,4438.10,54.81,24857.14,175.62,1210.90,53.86,864.32,3271.81,82.4,9.03,62.26,-0.01,0.01,0.01
1645.09,501.40,48.17,14.68,17.59,7977.32,123.64,50.91,120.08,48.93,230.23,36.60,633.38,4367.16,55.1,24988.66,171.96,1185.66,57.09,864.94,3274.15,81.34,9.03,62.26,-0.01,0.01,0.01
1646.1,501.71,37.72,11.50,18.33,8312.93,123.61,50.89,120.08,48.93,230.32,36.62,644.81,4445.96,54.35,24648.53,188.24,1297.91,82.48,866.57,3280.32,81.83,9.41,64.88,0,0.01,0
1647.14,502.02,37.67,11.48,22.48,10195.01,123.53,50.85,120.15,48.97,230.66,36.67,637.95,4398.67,50.2,22766.44,198.22,1366.73,73.66,862.69,3265.64,81.78,9.03,62.26,-0.01,0.01,0
1648.16,502.33,38.53,11.74,22.44,10176.87,123.22,50.68,120.11,48.95,230.73,36.68,640.62,4417.07,50.24,22784.58,214.05,1475.87,74.27,866.57,3280.32,83.37,9.03,62.26,-0.01,0.02,0
1649.17,502.64,30.5,9.30,21.32,9668.93,123.11,50.62,120.08,48.93,230.97,36.72,636.43,4388.18,51.36,23292.52,221.63,1528.14,77.69,864.12,3271.05,86.66,9.79,67.50,0,0.03,0
1650.21,502.96,49.76,15.17,20.66,9369.61,123.07,50.59,120.04,48.91,231.11,36.74,636.81,4390.80,52.03,23596.37,174.89,1205.87,138,631.49,2390.45,86.13,8.64,59.57,0,0.01,0
1651.23,503.27,66.57,20.29,21.9,9931.97,123.15,50.64,120,48.89,231.58,36.82,641.38,4422.32,50.78,23029.48,171.54,1182.77,80.16,865.55,3276.46,82.97,8.64,59.57,0,0.02,0
1652.26,503.58,36.21,11.04,22.52,10213.15,123.26,50.70,119.92,48.84,231.57,36.82,639.09,4406.53,50.16,22748.30,178.4,1230.07,75.92,738.5,2795.53,81.04,8.64,59.57,0,0.01,0
1653.28,503.90,36.97,11.27,21.07,9555.56,123.38,50.77,119.88,48.82,231.76,36.85,637.19,4393.43,51.61,23405.90,179.54,1237.93,76.37,863.51,3268.74,81.83,9.03,62.26,0,0.01,0
